121;17;Черная дорожная сумка ;2000;;PROGRES;20094-01 ;Сумка изготовлена из нейлона и кожи. Размеры - 38x27x20. Объем - 20,5.;Япония
122;17;Бежевая дорожная сумка;2000;;PROGRES;20094-05 ;Сумка изготовлена из нейлона и кожи. Размеры - 38x27x20. Объем - 20,5.;Япония
123;17;Бордовая дорожная сумка;2000;;PROGRES;20094-11 ;Сумка изготовлена из нейлона и кожи. Размеры - 38x27x20. Объем - 20,5.;Япония
124;17;Черная дорожная сумка ;2500;;PROGRES;20095-01 ;Сумка изготовлена из нейлона и кожи. Размеры - 42x29x20. Объем - 24,5.;Япония
125;17;Бежевая дорожная сумка;2500;;PROGRES;20095-05 ;Сумка изготовлена из нейлона и кожи. Размеры - 42x29x20. Объем - 24,5.;Япония
126;17;Бордовая дорожная сумка;2500;;PROGRES;20095-11 ;Сумка изготовлена из нейлона и кожи. Размеры - 42x29x20. Объем - 24,5.;Япония
127;17;Черная сумка;4500;;PROGRES;231534-01 ;Сумка имеет размеры 35x27x16. Объем - 15,2.;Япония
128;17;Синяя сумка;4500;;PROGRES;231534-03 ;Сумка имеет размеры 35x27x16. Объем - 15,2.;Япония
129;17;Черная сумка;5500;;PROGRES;231535-01 ;Сумка имеет размеры 40x35x19. Объем - 15,2.;Япония
130;17;Синяя сумка;5500;;PROGRES;231535-03 ;Сумка имеет размеры 40x35x19. Объем - 15,2.;Япония
131;17;Черная сумка;5000;;PROGRES;231536-01 ;Сумка имеет размеры 40x27x16. Объем - 17,3.;Япония
132;17;Синяя сумка;5000;;PROGRES;231536-03 ;Сумка имеет размеры 40x27x16. Объем - 17,3.;Япония
133;17;Черная сумка;6000;;PROGRES;231537-01 ;Сумка имеет размеры 45x26x18. Объем - 21.;Япония
134;17;Синяя сумка;6000;;PROGRES;231537-03 ;Сумка имеет размеры 45x26x18. Объем - 21.;Япония
135;17;Бежевая сумка;2400;;PROGRES;233153-05 ;Сумка изготовлена из нейлона и экокожи. Размеры - 30x20x10. Объем - 6.;Япония
136;17;Бежевая сумка;2900;;PROGRES;233154-05 ;Сумка изготовлена из нейлона и экокожи. Размеры - 35x22x12. Объем - 9,2.;Япония
137;17;Бордовая сумка;2900;;PROGRES;233154-07 ;Сумка изготовлена из нейлона и экокожи. Размеры - 35x22x12. Объем - 9,2.;Япония
138;17;Бежевая сумка;3600;;PROGRES;233155-05 ;Сумка изготовлена из нейлона и экокожи. Размеры - 38x30x15. Объем - 17,1.;Япония
139;17;Бордовая сумка;3600;;PROGRES;233155-07 ;Сумка изготовлена из нейлона и экокожи. Размеры - 38x30x15. Объем - 17,1.;Япония
140;17;Бежевая сумка;3900;;PROGRES;233156-05 ;Сумка изготовлена из нейлона и экокожи. Размеры - 42x28x16. Объем - 18,8.;Япония
141;17;Бордовая сумка;3900;;PROGRES;233156-07 ;Сумка изготовлена из нейлона и экокожи. Размеры - 42x28x16. Объем - 18,8.;Япония
142;17;Бежевая сумка;4500;;PROGRES;233157-05 ;Сумка изготовлена из нейлона и экокожи. Размеры - 46x27x17. Объем - 21,1.;Япония
